trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",25,0,-93.83275253306331,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.7, 'e': 0.25}",20,0,-64.55555149650928,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.1111111111111111}",20,0,-48.69131513901226,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.0625}",25,0,10.112162914484067,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.04}",25,0,-66.59840879670764,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.027777777777777776}",20,0,-52.148430633093675,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
7,False,"{'a': 0.7, 'e': 0.02040816326530612}",30,0,-35.109396700844236,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.015625}",20,0,4.548134735659559,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.012345679012345678}",30,0,-2.2804801787407145,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.01}",20,0,12.95422478269969,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.008264462809917356}",25,3,28.827680976315,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.7, 'e': 0.006944444444444444}",30,0,-5.1281024775742825,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.005917159763313609}",20,0,-2.2226506666948556,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.00510204081632653}",20,0,-18.169164069313602,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.0044444444444444444}",25,0,28.095643863545945,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.7, 'e': 0.00390625}",20,9,17.321710518450217,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.0034602076124567475}",25,6,-17.512485102001133,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.7, 'e': 0.0030864197530864196}",30,9,27.398589662058516,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.002770083102493075}",20,0,19.438686701604162,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.0025}",20,0,12.377683701695485,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.7, 'e': 0.0022675736961451248}",25,4,17.66185087709939,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.7, 'e': 0.002066115702479339}",25,19,12.077428707082587,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.001890359168241966}",30,0,-37.23220764340789,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
24,False,"{'a': 0.7, 'e': 0.001736111111111111}",20,15,-11.754824445205655,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
25,False,"{'a': 0.7, 'e': 0.0016}",20,0,5.991494116773413,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
26,False,"{'a': 0.7, 'e': 0.0014792899408284023}",20,0,27.257252144108342,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.7, 'e': 0.0013717421124828531}",20,0,4.77347148763344,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
28,False,"{'a': 0.7, 'e': 0.0012755102040816326}",20,0,22.313696603044868,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.7, 'e': 0.0011890606420927466}",25,4,34.4064987739654,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.0011111111111111111}",30,0,-12.618777753164384,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
31,False,"{'a': 0.7, 'e': 0.001040582726326743}",25,12,20.412345264306524,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.0009765625}",30,3,12.573414631449173,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 0}",1
33,False,"{'a': 0.7, 'e': 0.0009182736455463728}",20,0,22.032727504105,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.7, 'e': 0.0008650519031141869}",20,0,26.428042161858897,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.7, 'e': 0.0008163265306122449}",35,23,-27.79422390742418,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
36,False,"{'a': 0.7, 'e': 0.0007716049382716049}",30,0,42.5926676266803,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.0007304601899196494}",20,0,25.051503800122646,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.7, 'e': 0.0006925207756232687}",30,24,13.977062990416723,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.0006574621959237344}",25,1,-8.469327945534781,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.7, 'e': 0.000625}",20,0,25.870755044538527,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.7, 'e': 0.000594883997620464}",30,8,30.010752951371746,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.7, 'e': 0.0005668934240362812}",25,0,34.85949753568052,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.7, 'e': 0.0005408328826392645}",20,3,21.408778194408967,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.0005165289256198347}",25,17,15.419656124891976,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.0004938271604938272}",25,16,13.139267916856628,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.0004725897920604915}",30,4,37.38065509066132,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.0004526935264825713}",30,18,21.670764198200263,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
