trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-221.40373230342217,"{0: 8, 1: 4, 2: 3, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,13,-53.431213181270806,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",20,0,-95.39723778446933,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-31.479133054913998,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-104.16442816993177,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",20,0,-66.29451671794091,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-74.09917555206418,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",20,0,-116.28696380782408,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",30,0,-151.55423137607687,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",20,0,-94.3976716290179,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",35,0,-220.4120680557708,"{0: 20, 1: 6, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",30,0,-97.84214177230646,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-244.86631159308422,"{0: 7, 1: 6, 2: 2, 3: 0, 4: 5}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",20,0,-110.8585133202375,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",25,0,-83.48922152212131,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",20,0,-160.4812957679505,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",20,0,-157.29761648986494,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,0,-95.78492938508113,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",20,0,-56.464163715907894,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",20,0,-99.88751639268206,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-111.87416985001857,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-152.9611179895731,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-38.26656478707705,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-63.674306226740974,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-177.70264642985214,"{0: 17, 1: 7, 2: 2, 3: 1, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-103.26155502912982,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-127.84427550202848,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-114.83067932692931,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-82.14482986910521,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-123.65544431112222,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
